carat,cut,clarity,table,x,y,z,E,F,G,H,I,J,price
0.91,3,7,54.0,6.14,6.22,3.89,0,0,1,0,0,0,3615
1.02,3,4,58.0,6.42,6.47,4.02,0,1,0,0,0,0,7587
0.52,2,6,54.0,5.12,5.15,3.27,1,0,0,0,0,0,1388
1.21,5,2,55.0,6.88,6.8,4.21,0,0,0,0,1,0,7086
0.5,2,5,59.0,4.89,4.94,3.19,1,0,0,0,0,0,1389
1.01,4,3,59.0,6.44,6.37,3.95,0,0,1,0,0,0,7466
0.51,5,3,57.0,5.13,5.1,3.2,0,1,0,0,0,0,2203
0.27,4,4,58.0,4.22,4.17,2.58,1,0,0,0,0,0,603
1.8,3,6,57.0,7.81,7.89,4.88,1,0,0,0,0,0,17273
0.3,5,4,55.0,4.28,4.3,2.66,0,1,0,0,0,0,673
1.13,4,6,59.0,6.79,6.7,4.11,0,0,0,1,0,0,5050
0.38,4,5,59.0,4.64,4.6,2.85,0,0,0,0,1,0,812
0.54,4,6,59.0,5.36,5.3,3.18,0,1,0,0,0,0,1369
0.3,2,6,55.0,4.25,4.29,2.7,0,0,0,0,1,0,405
0.51,5,7,55.0,5.23,5.17,3.11,0,0,0,0,0,0,1359
0.32,4,6,59.0,4.37,4.41,2.73,0,0,0,0,0,1,365
0.57,5,2,55.0,5.36,5.44,3.3,0,1,0,0,0,0,3057
0.44,5,3,56.0,4.9,4.93,2.99,0,0,0,0,1,0,912
0.52,5,5,56.0,5.12,5.16,3.21,0,1,0,0,0,0,1629
0.7,4,4,59.0,5.91,5.83,3.43,1,0,0,0,0,0,2854
0.57,3,7,58.0,5.39,5.42,3.21,0,0,1,0,0,0,1214
1.22,5,5,57.0,6.88,6.83,4.25,0,0,1,0,0,0,8062
0.59,5,6,55.0,5.37,5.4,3.34,1,0,0,0,0,0,1664
0.51,5,5,56.0,5.11,5.18,3.19,0,0,1,0,0,0,1343
1.2,4,6,58.0,6.8,6.7,4.2,0,0,1,0,0,0,5154
2.16,4,7,57.0,8.29,8.22,5.14,0,0,0,1,0,0,11473
0.31,3,4,57.0,4.39,4.42,2.67,0,0,1,0,0,0,640
0.4,5,3,55.7,4.72,4.77,2.92,0,0,0,1,0,0,905
1.68,5,5,57.0,7.6,7.54,4.7,0,0,0,0,1,0,10800
0.9,3,7,58.0,6.08,6.17,3.89,0,0,0,0,0,0,3918
0.43,3,5,58.0,4.81,4.87,3.01,1,0,0,0,0,0,869
0.76,5,5,55.0,5.85,5.88,3.64,0,0,0,1,0,0,3016
1.26,5,5,57.0,6.86,6.81,4.32,0,0,0,0,0,1,5306
0.41,3,3,56.0,4.75,4.72,2.99,0,0,0,0,1,0,1061
0.3,5,2,55.0,4.34,4.37,2.69,0,0,0,1,0,0,665
0.5,5,3,57.0,5.06,5.08,3.16,0,1,0,0,0,0,1850
0.54,5,6,56.0,5.24,5.19,3.24,1,0,0,0,0,0,1637
0.4,3,3,61.0,4.77,4.82,2.85,0,0,0,0,0,0,977
1.51,3,6,61.0,7.3,7.35,4.52,0,0,0,1,0,0,9218
0.5,3,3,59.0,5.07,5.11,3.1,1,0,0,0,0,0,2003
0.33,5,4,57.0,4.47,4.5,2.73,1,0,0,0,0,0,850
0.9,5,2,57.0,6.24,6.16,3.82,0,0,1,0,0,0,5564
0.72,3,6,57.0,5.71,5.75,3.62,0,0,0,0,1,0,2345
0.51,5,5,55.0,5.15,5.18,3.19,0,0,1,0,0,0,1557
0.5,2,6,57.0,5.02,5.06,3.22,0,0,1,0,0,0,1197
1.02,1,6,55.0,6.25,6.18,4.15,0,0,0,0,0,1,3027
0.7,1,6,58.0,5.57,5.54,3.62,1,0,0,0,0,0,2318
1.69,5,5,57.0,7.59,7.66,4.74,0,1,0,0,0,0,16789
1.3,4,2,60.0,7.01,7.05,4.25,0,0,1,0,0,0,11061
0.31,5,4,55.0,4.37,4.4,2.68,0,0,0,0,0,0,774
1.22,5,4,57.0,6.93,6.94,4.21,0,0,1,0,0,0,9002
1.0,4,3,54.0,6.56,6.52,3.96,0,1,0,0,0,0,8924
0.28,3,6,55.0,4.2,4.25,2.62,0,0,1,0,0,0,382
1.01,2,6,59.0,6.31,6.34,4.07,1,0,0,0,0,0,4766
0.41,3,3,56.0,4.77,4.81,2.97,0,0,0,1,0,0,873
0.55,3,6,60.0,5.31,5.41,3.2,1,0,0,0,0,0,1559
1.39,4,5,56.0,7.18,7.14,4.44,0,0,1,0,0,0,8874
0.36,3,7,55.0,4.59,4.62,2.81,0,0,0,1,0,0,475
0.23,3,3,56.0,4.03,4.07,2.43,1,0,0,0,0,0,530
1.37,4,5,59.0,7.11,7.04,4.36,0,0,1,0,0,0,7951
0.31,5,2,61.0,4.4,4.43,2.66,1,0,0,0,0,0,865
0.81,4,6,59.0,5.97,5.95,3.69,0,1,0,0,0,0,3043
0.31,5,2,56.0,4.38,4.34,2.67,0,0,1,0,0,0,1046
2.02,3,7,55.0,8.05,8.11,5.04,0,0,0,0,0,1,11757
0.34,5,1,56.0,4.5,4.51,2.78,0,0,0,1,0,0,863
0.3,5,2,56.0,4.3,4.34,2.65,0,0,1,0,0,0,789
1.68,4,6,62.0,7.72,7.66,4.67,0,1,0,0,0,0,12681
0.77,5,7,55.0,6.01,5.95,3.63,1,0,0,0,0,0,2834
2.8,4,7,59.0,9.03,8.98,5.5,0,0,0,0,1,0,15030
0.9,4,5,62.0,6.19,6.13,3.77,0,0,0,0,1,0,3338
0.76,3,6,59.0,5.76,5.8,3.64,1,0,0,0,0,0,2668
0.55,4,7,58.0,5.35,5.33,3.22,0,0,1,0,0,0,1186
0.31,1,3,58.0,4.25,4.24,2.78,0,0,1,0,0,0,629
0.4,4,7,59.0,4.8,4.83,2.91,0,0,0,0,0,0,666
1.56,4,5,58.0,7.44,7.4,4.59,0,0,1,0,0,0,13299
0.3,5,3,57.0,4.26,4.29,2.68,0,0,1,0,0,0,684
0.31,5,4,56.0,4.34,4.33,2.68,1,0,0,0,0,0,942
0.31,5,2,56.0,4.38,4.4,2.69,1,0,0,0,0,0,1105
0.3,5,4,55.0,4.27,4.3,2.64,0,0,0,1,0,0,526
2.2,5,7,57.0,8.54,8.49,5.1,0,0,1,0,0,0,14691
0.73,3,4,60.0,5.71,5.79,3.57,1,0,0,0,0,0,3353
0.9,2,5,61.0,6.15,6.24,3.81,0,0,0,1,0,0,4156
0.75,5,5,57.0,5.8,5.82,3.61,0,1,0,0,0,0,3081
0.5,3,6,59.0,5.11,5.14,3.09,0,0,0,0,0,0,1415
0.4,5,5,57.0,4.78,4.75,2.92,1,0,0,0,0,0,1150
0.41,5,3,57.0,4.76,4.74,2.96,0,0,0,0,0,0,1356
0.41,4,4,59.0,4.74,4.76,2.96,1,0,0,0,0,0,1079
0.36,4,6,60.0,4.59,4.52,2.79,0,0,0,0,0,1,541
1.71,5,4,56.0,7.65,7.58,4.8,0,0,1,0,0,0,17009
1.02,4,6,59.0,6.5,6.44,3.9,0,0,0,1,0,0,4558
0.59,3,6,57.0,5.39,5.43,3.34,0,1,0,0,0,0,1412
0.9,3,5,62.0,6.06,6.13,3.84,0,0,0,0,0,0,4668
0.9,3,6,62.0,6.08,6.11,3.81,0,1,0,0,0,0,3950
0.92,3,4,61.0,6.22,6.25,3.8,1,0,0,0,0,0,5453
1.45,3,5,57.0,7.14,7.17,4.49,0,0,0,0,0,1,6671
1.16,5,5,57.0,6.78,6.75,4.16,0,0,0,0,1,0,5302
1.01,4,7,56.0,6.45,6.4,3.96,1,0,0,0,0,0,4751
0.7,5,3,59.0,5.69,5.73,3.48,0,0,0,0,0,0,3737
0.32,5,1,55.0,4.42,4.44,2.72,0,0,1,0,0,0,898
0.91,3,7,57.0,6.27,6.32,3.78,0,0,1,0,0,0,3531
0.58,5,7,56.0,5.32,5.3,3.33,0,0,0,0,0,0,1442
0.51,5,6,55.0,5.14,5.09,3.19,1,0,0,0,0,0,1443
0.31,5,5,57.0,4.27,4.33,2.69,0,1,0,0,0,0,625
0.97,5,7,57.0,6.31,6.28,3.95,0,0,1,0,0,0,4101
1.03,5,7,56.0,6.44,6.48,4.03,0,0,0,0,0,1,4054
0.3,2,3,64.0,4.34,4.29,2.58,1,0,0,0,0,0,814
0.5,3,4,55.0,4.98,5.03,3.2,1,0,0,0,0,0,1604
0.59,5,2,56.0,5.42,5.46,3.33,0,0,0,0,1,0,2049
0.26,3,5,58.0,4.15,4.19,2.52,1,0,0,0,0,0,452
1.0,2,4,58.0,6.27,6.21,3.99,0,0,0,0,0,0,6250
0.9,3,6,63.0,6.13,6.1,3.73,0,0,0,0,0,0,4304
0.31,5,6,55.0,4.36,4.38,2.71,0,0,0,0,0,0,571
1.53,3,6,59.0,7.55,7.62,4.44,0,1,0,0,0,0,11713
0.81,5,6,57.0,5.98,6.01,3.71,0,1,0,0,0,0,2977
0.32,3,5,58.0,4.37,4.42,2.7,0,1,0,0,0,0,556
0.7,3,6,57.0,5.73,5.77,3.47,0,1,0,0,0,0,2343
1.0,1,5,58.0,5.98,5.95,4.08,0,1,0,0,0,0,4312
0.34,3,4,61.0,4.48,4.53,2.72,0,0,1,0,0,0,686
0.71,5,6,57.0,5.72,5.64,3.55,0,0,1,0,0,0,2215
0.5,1,6,58.0,4.87,4.9,3.25,1,0,0,0,0,0,1098
0.32,5,3,54.0,4.41,4.43,2.74,1,0,0,0,0,0,790
1.63,5,6,56.0,7.64,7.56,4.66,0,0,0,0,1,0,9694
0.96,5,4,56.0,6.34,6.38,3.89,0,1,0,0,0,0,5767
1.24,4,7,57.0,7.02,6.87,4.25,0,0,0,1,0,0,5694
0.51,3,4,57.0,5.1,5.12,3.18,0,0,0,1,0,0,1628
0.4,2,5,62.0,4.75,4.66,2.97,0,0,0,1,0,0,717
1.21,3,6,60.0,6.76,6.69,4.26,0,0,0,0,1,0,4404
0.72,5,6,55.0,5.74,5.77,3.55,0,1,0,0,0,0,2470
0.75,3,6,56.0,5.73,5.77,3.66,0,0,0,0,1,0,2300
0.42,5,3,56.0,4.86,4.88,2.95,0,0,1,0,0,0,933
0.9,5,6,57.0,6.21,6.24,3.84,1,0,0,0,0,0,4940
0.32,5,5,54.0,4.38,4.43,2.72,0,0,0,0,0,0,758
0.39,4,5,60.0,4.64,4.67,2.91,1,0,0,0,0,0,889
1.01,3,7,58.0,6.34,6.31,4.0,0,0,0,0,1,0,3309
0.61,5,3,55.0,5.45,5.48,3.37,0,1,0,0,0,0,2833
0.54,5,3,55.0,5.27,5.25,3.25,0,1,0,0,0,0,2333
0.71,5,5,55.0,5.72,5.77,3.56,1,0,0,0,0,0,3421
1.01,3,4,58.0,6.52,6.61,3.86,0,0,1,0,0,0,6777
0.24,5,3,54.0,4.0,4.09,2.49,0,1,0,0,0,0,552
0.24,5,2,55.0,4.0,4.03,2.48,0,1,0,0,0,0,678
0.58,4,5,55.0,5.4,5.31,3.33,0,1,0,0,0,0,1586
1.01,2,7,55.0,6.38,6.31,4.05,1,0,0,0,0,0,4118
0.9,3,6,57.0,6.07,6.1,3.87,0,0,0,0,0,1,3225
0.72,5,7,55.0,5.79,5.82,3.57,0,0,1,0,0,0,2420
0.7,3,5,55.0,5.64,5.61,3.55,0,0,1,0,0,0,2657
2.01,4,7,58.0,8.19,8.15,4.85,0,0,1,0,0,0,15562
0.51,3,5,62.0,5.07,5.09,3.17,0,0,1,0,0,0,1438
1.2,4,5,59.0,6.82,6.78,4.23,1,0,0,0,0,0,8602
1.24,5,5,57.0,6.87,6.84,4.25,0,0,1,0,0,0,9188
1.26,3,6,61.0,6.87,6.81,4.32,0,0,1,0,0,0,7000
0.33,5,5,56.0,4.43,4.47,2.73,0,1,0,0,0,0,666
0.58,5,6,55.0,5.33,5.38,3.3,1,0,0,0,0,0,1636
0.41,5,4,57.0,4.81,4.76,2.96,0,0,1,0,0,0,961
1.19,5,3,59.0,6.84,6.81,4.15,0,0,1,0,0,0,9524
0.9,3,7,55.0,6.21,6.26,3.81,0,0,1,0,0,0,3445
1.52,4,6,58.0,7.42,7.37,4.58,0,0,0,0,1,0,8631
1.5,3,4,55.0,7.39,7.48,4.5,0,1,0,0,0,0,15585
1.22,5,6,58.0,6.8,6.82,4.24,0,0,0,0,1,0,6398
0.3,3,1,58.0,4.21,4.25,2.66,0,0,1,0,0,0,895
1.0,3,4,56.0,6.39,6.41,4.03,1,0,0,0,0,0,7453
0.24,3,3,57.0,4.02,4.04,2.47,0,0,0,1,0,0,449
1.01,3,5,60.0,6.37,6.31,4.02,1,0,0,0,0,0,6787
1.7,5,7,57.0,7.74,7.84,4.71,0,0,0,0,0,1,8505
0.55,4,5,57.0,5.29,5.27,3.24,1,0,0,0,0,0,1881
0.34,3,6,57.0,4.53,4.56,2.74,1,0,0,0,0,0,596
0.44,5,2,57.0,4.91,4.93,3.0,0,0,0,0,0,0,2290
0.79,5,6,57.0,5.94,6.0,3.65,0,0,0,0,0,0,3209
0.67,2,4,60.3,5.62,5.69,3.38,0,1,0,0,0,0,2479
0.31,4,6,61.0,4.39,4.33,2.66,0,0,0,1,0,0,558
1.22,5,6,55.0,6.82,6.87,4.24,0,0,0,1,0,0,7870
1.5,2,7,61.0,7.39,7.49,4.45,0,0,0,1,0,0,6798
0.9,5,7,56.0,6.15,6.2,3.86,0,0,1,0,0,0,3521
0.38,5,5,54.0,4.64,4.66,2.89,0,1,0,0,0,0,870
1.01,5,4,57.0,6.45,6.4,3.97,0,0,1,0,0,0,6618
0.3,5,3,56.0,4.32,4.34,2.67,0,1,0,0,0,0,694
0.71,2,7,63.0,5.75,5.88,3.42,1,0,0,0,0,0,2120
1.21,4,1,58.0,6.83,6.8,4.24,0,0,0,1,0,0,8446
1.0,5,5,57.0,6.4,6.35,3.99,0,1,0,0,0,0,6804
0.9,3,7,63.0,6.12,6.22,3.72,0,0,0,0,0,0,3534
0.91,3,4,56.0,6.18,6.12,3.9,0,0,0,1,0,0,4224
0.41,5,3,57.0,4.75,4.72,2.96,0,0,0,0,0,0,1181
0.39,5,6,55.0,4.74,4.75,2.9,1,0,0,0,0,0,628
1.28,4,7,58.0,7.13,7.03,4.26,0,0,0,1,0,0,6093
0.32,3,5,58.0,4.42,4.45,2.7,0,0,1,0,0,0,564
0.25,2,3,61.0,4.16,4.19,2.4,0,0,0,0,0,0,548
1.01,3,2,59.0,6.47,6.41,3.98,0,0,1,0,0,0,8373
0.31,5,6,55.0,4.39,4.42,2.71,0,0,0,1,0,0,464
0.9,5,7,57.0,6.13,6.2,3.86,1,0,0,0,0,0,3808
0.71,5,6,55.0,5.7,5.75,3.56,0,0,0,0,1,0,2376
0.44,2,5,64.0,5.01,4.94,2.93,1,0,0,0,0,0,1001
0.33,4,3,56.0,4.45,4.41,2.75,0,0,0,0,1,0,743
0.56,5,1,56.0,5.3,5.32,3.29,0,0,1,0,0,0,2442
0.24,3,3,57.0,4.07,4.1,2.45,1,0,0,0,0,0,552
0.36,3,6,54.0,4.64,4.67,2.83,0,1,0,0,0,0,641
0.41,5,5,55.0,4.73,4.7,2.96,0,0,0,0,0,0,1076
0.31,5,1,55.0,4.35,4.38,2.71,0,1,0,0,0,0,921
0.52,3,4,58.0,5.14,5.17,3.21,0,0,1,0,0,0,1629
0.43,5,6,56.0,4.86,4.82,2.98,0,0,0,0,0,0,1036
1.53,4,4,60.0,7.43,7.4,4.52,0,0,1,0,0,0,14344
0.59,5,5,58.0,5.38,5.4,3.31,1,0,0,0,0,0,1657
0.4,3,6,58.0,4.69,4.66,2.95,0,1,0,0,0,0,882
0.71,4,5,61.0,5.88,5.85,3.44,0,0,0,0,0,0,2968
1.09,5,3,55.0,6.6,6.52,4.1,0,1,0,0,0,0,9845
2.11,4,7,60.0,8.19,8.15,5.08,0,0,1,0,0,0,16336
0.34,5,2,55.0,4.53,4.56,2.75,0,0,1,0,0,0,844
0.71,3,7,58.0,5.68,5.73,3.55,1,0,0,0,0,0,2313
0.43,5,5,55.0,4.86,4.81,3.0,0,0,0,0,0,0,1129
0.38,5,6,56.0,4.68,4.63,2.85,0,0,0,1,0,0,834
1.17,3,6,61.0,6.65,6.59,4.19,0,0,1,0,0,0,5025
1.22,5,5,55.0,6.83,6.91,4.26,0,0,1,0,0,0,7923
0.5,5,2,54.0,5.1,5.13,3.18,0,0,1,0,0,0,1883
0.55,5,3,57.0,5.24,5.27,3.23,0,1,0,0,0,0,2294
0.41,5,3,56.0,4.74,4.78,2.95,0,0,0,1,0,0,899
0.82,4,7,58.0,5.96,5.98,3.72,0,0,1,0,0,0,2456
0.39,5,5,54.0,4.67,4.7,2.93,0,0,1,0,0,0,857
0.53,3,5,59.0,5.2,5.27,3.19,0,0,0,0,0,1,1023
0.51,3,3,58.0,5.13,5.18,3.18,0,0,1,0,0,0,1875
0.23,3,4,57.0,4.04,4.06,2.42,0,1,0,0,0,0,402
0.36,4,5,60.0,4.59,4.54,2.8,1,0,0,0,0,0,1013
0.46,2,5,56.0,4.89,4.92,3.1,0,0,0,0,0,0,1205
0.7,2,2,56.0,5.6,5.66,3.53,0,0,0,1,0,0,2877
2.11,4,7,61.0,8.19,8.1,5.08,1,0,0,0,0,0,18034
0.7,4,6,60.0,5.81,5.79,3.46,1,0,0,0,0,0,2394
2.43,5,7,59.0,8.54,8.61,5.34,0,0,0,0,1,0,17856
0.3,5,5,57.0,4.33,4.29,2.64,1,0,0,0,0,0,844
0.51,3,4,56.0,5.08,5.13,3.2,0,0,1,0,0,0,1656
1.03,4,6,61.0,6.49,6.44,3.95,0,0,0,0,0,1,3749
0.7,3,3,63.0,5.82,5.79,3.41,0,1,0,0,0,0,3234
0.41,4,4,58.0,4.83,4.88,2.91,1,0,0,0,0,0,1079
0.72,5,6,57.0,5.68,5.74,3.53,0,1,0,0,0,0,2440
0.77,2,6,65.0,5.82,5.74,3.64,0,0,0,1,0,0,2393
0.35,5,4,57.0,4.59,4.54,2.78,0,0,0,0,1,0,709
0.38,5,4,56.0,4.64,4.67,2.91,0,0,0,0,0,0,1067
0.31,4,4,58.0,4.31,4.35,2.69,0,0,1,0,0,0,625
0.54,5,3,56.0,5.25,5.3,3.22,0,0,1,0,0,0,1985
0.32,5,3,55.0,4.4,4.43,2.72,0,0,1,0,0,0,708
0.4,5,6,55.0,4.74,4.78,2.94,0,0,0,0,0,0,772
0.35,5,3,56.0,4.52,4.56,2.82,0,1,0,0,0,0,745
0.31,3,6,59.0,4.33,4.28,2.72,1,0,0,0,0,0,698
1.65,5,6,56.0,7.59,7.54,4.73,0,0,0,0,0,1,8334
1.69,5,6,57.0,7.62,7.55,4.78,0,1,0,0,0,0,13872
0.33,5,4,56.0,4.45,4.48,2.73,1,0,0,0,0,0,850
0.52,3,4,58.0,5.31,5.38,3.16,1,0,0,0,0,0,1875
0.35,3,7,61.0,4.49,4.47,2.83,0,0,0,1,0,0,551
0.42,3,4,58.0,4.84,4.88,2.96,0,1,0,0,0,0,910
0.7,2,6,56.0,5.63,5.6,3.6,0,1,0,0,0,0,2289
0.9,3,5,57.0,6.07,6.1,3.86,0,0,0,0,1,0,3489
0.71,3,7,55.0,5.76,5.87,3.54,0,0,0,0,0,1,1986
0.84,2,4,57.0,5.98,5.93,3.79,0,0,1,0,0,0,3316
0.54,4,6,57.0,5.21,5.12,3.23,0,0,0,0,0,0,1650
0.7,5,7,57.0,5.77,5.74,3.45,0,0,0,1,0,0,2142
0.57,5,2,56.0,5.27,5.32,3.31,0,1,0,0,0,0,2682
0.56,5,5,54.0,5.3,5.33,3.3,0,0,0,0,1,0,1237
0.59,5,5,59.0,5.38,5.34,3.33,0,0,0,1,0,0,1648
0.41,5,7,56.0,4.78,4.81,2.94,0,0,1,0,0,0,605
1.04,5,1,57.0,6.49,6.52,4.02,0,0,0,0,0,0,14494
0.38,4,5,56.0,4.72,4.67,2.86,0,1,0,0,0,0,1026
0.9,3,6,59.0,6.11,6.15,3.83,0,0,0,0,0,0,4579
0.73,5,5,57.0,5.75,5.79,3.6,1,0,0,0,0,0,3201
0.3,2,6,60.0,4.23,4.25,2.69,0,0,0,1,0,0,432
0.71,5,3,56.0,5.69,5.77,3.53,0,0,0,0,0,0,4222
0.7,2,5,60.0,5.59,5.51,3.54,0,0,0,1,0,0,2083
0.32,5,1,56.0,4.37,4.41,2.73,0,0,0,0,0,1,533
1.74,5,7,56.0,7.56,7.54,4.87,0,0,0,0,0,0,12361
0.57,5,5,56.0,5.31,5.34,3.29,0,0,0,0,0,0,1998
1.11,4,7,58.0,6.63,6.61,4.14,1,0,0,0,0,0,4664
0.34,4,5,58.0,4.49,4.53,2.72,0,0,1,0,0,0,596
0.8,3,4,54.0,5.98,5.94,3.72,1,0,0,0,0,0,4495
1.83,4,6,55.0,7.9,7.78,4.93,0,0,0,0,1,0,11883
0.9,4,8,59.0,6.2,6.15,3.78,0,0,1,0,0,0,1777
0.7,5,5,58.0,5.67,5.71,3.55,0,0,0,1,0,0,2429
0.32,5,3,55.0,4.41,4.43,2.71,1,0,0,0,0,0,1010
1.51,4,6,59.0,7.32,7.3,4.5,0,0,1,0,0,0,10739
1.5,1,5,56.0,7.16,7.09,4.59,0,0,1,0,0,0,12787
0.23,3,2,59.0,3.9,3.93,2.42,1,0,0,0,0,0,530
1.52,4,7,62.0,7.42,7.37,4.48,0,0,0,0,0,0,9561
1.25,4,7,57.0,7.0,6.93,4.28,0,0,0,0,0,1,4690
0.52,3,5,57.0,5.08,5.12,3.26,0,1,0,0,0,0,1550
1.02,4,7,59.0,6.4,6.38,4.02,0,0,1,0,0,0,4370
1.16,4,4,58.0,6.76,6.72,4.17,0,0,1,0,0,0,8107
0.42,4,5,58.0,4.8,4.83,2.95,0,0,0,0,0,0,825
0.42,5,6,56.0,4.85,4.81,2.97,0,0,0,0,0,0,1040
2.01,3,6,57.0,7.96,7.88,5.03,0,0,0,1,0,0,14725
1.15,5,8,55.0,6.76,6.69,4.17,0,0,0,1,0,0,3606
0.7,5,4,57.0,5.73,5.79,3.5,0,0,1,0,0,0,3384
0.42,5,5,56.0,4.82,4.83,2.97,0,0,1,0,0,0,847
1.5,4,6,58.0,7.33,7.28,4.56,0,0,0,1,0,0,9697
0.44,2,4,57.0,4.83,4.87,3.06,0,0,0,0,0,1,694
1.7,4,5,59.0,7.63,7.68,4.72,0,0,0,0,1,0,11257
0.96,1,7,58.0,6.14,6.12,3.99,0,1,0,0,0,0,3688
1.02,3,5,56.0,6.42,6.45,4.02,0,0,0,1,0,0,5217
0.7,3,6,62.0,5.64,5.68,3.49,1,0,0,0,0,0,2569
1.01,2,6,59.0,6.35,6.4,3.87,0,0,1,0,0,0,4672
0.6,4,6,58.0,5.39,5.33,3.37,0,0,0,0,0,0,1799
0.9,3,5,60.0,6.13,6.16,3.78,0,0,1,0,0,0,4386
1.13,3,6,57.0,6.62,6.65,4.16,1,0,0,0,0,0,4922
0.91,4,5,58.0,6.3,6.25,3.8,0,0,0,1,0,0,4293
0.31,5,1,56.0,4.35,4.37,2.7,1,0,0,0,0,0,1060
1.02,3,7,63.0,6.49,6.46,3.8,0,1,0,0,0,0,3875
1.51,3,7,59.0,7.24,7.31,4.57,1,0,0,0,0,0,9058
1.06,3,8,63.0,6.59,6.56,3.99,0,0,1,0,0,0,2080
1.51,4,6,59.0,7.34,7.29,4.55,0,0,0,0,0,0,10122
1.24,5,6,60.0,6.94,6.91,4.23,0,0,0,0,1,0,5976
0.73,5,5,56.0,5.78,5.74,3.6,0,0,1,0,0,0,2586
0.41,5,5,56.0,4.81,4.78,2.96,0,0,0,0,0,0,1076
0.53,5,7,54.0,5.2,5.23,3.23,0,0,0,0,0,1,856
